bloque,tipo_medida,variable_1,variable_2,valor,n_observaciones,decision_metodologica,decision,criterio
Hechos discriminatorios,correlacion_pearson,Hechos discriminatorios - Genero [n],Hechos discriminatorios - LGTBIFobia [n],"0,748",19,Fusionadas como discriminacion por sexo-genero y diversidad sexual.,,
Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - PM2.5(�g/m�) [media],"0,749",17,PM10 y PM2.5 se integran en un indice estandarizado de particulas.,,
Medio ambiente,correlacion_pearson,Contaminacion - PM10(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,076",15,Ozono se mantiene separado porque su comportamiento territorial es distinto al de las particulas.,,
Medio ambiente,correlacion_pearson,Contaminacion - PM2.5(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"0,525",13,Ozono se mantiene separado porque no mide material particulado.,,
Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,998",19,"NO, NO2 y NOx son muy redundantes; se conserva NO2 como indicador mas interpretable de trafico urbano.",,
Medio ambiente,correlacion_pearson,Contaminacion - NO2(�g/m�) [media],Contaminacion - NOx(�g/m�) [media],"0,994",19,NOx se elimina por redundancia con NO2.,,
Medio ambiente,correlacion_pearson,Contaminacion - NO(�g/m�) [media],Contaminacion - NO2(�g/m�) [media],"0,985",19,NO se elimina por redundancia con NO2.,,
Medio ambiente,correlacion_pearson,Contaminacion - SO2(�g/m�) [media],Contaminacion - Ozono(�g/m�) [media],"-0,979",15,SO2 se elimina; se conserva un conjunto de contaminantes mas interpretable.,,
Movilidad,correlacion_pearson,Edat mitjana dels turismes particulars [2025],Percentatge de turismes particulars de 10 i més anys [2025],"0,902",19,Se conserva la edad media de los turismos y se elimina el porcentaje de turismos de 10 o mas anos.,,
Movilidad,correlacion_pearson,Edat mitjana dels turismes particulars [2025],Percentatge de turismes particulars de 16 i més CV [2025],"-0,107",19,Se elimina el porcentaje de turismos de 16 o mas CV para reducir detalle no esencial.,,
Bienestar social - vulnerabilidad,correlacion_pearson,Vulnerabilidad global [indice],Vulnerabilidad economia [indice],"0,483",16,Se conservan ambos indices: el global resume la vulnerabilidad general y economia mantiene una dimension especifica.,,
Bienestar social - vulnerabilidad,correlacion_pearson,Vulnerabilidad global [indice],Vulnerabilidad demografia [indice],"0,302",16,Se conservan los indices porque cada uno representa una dimension distinta de vulnerabilidad.,,
Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cheques concedidos,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Concedidos","1,000",19,Los concedidos aparecen duplicados en dos tablas fuente; se conserva la cobertura y el porcentaje concedido sobre solicitudes.,,
Bienestar social - cheques escolares,correlacion_pearson,Bienestar social | Distribución de concesiones de Cheques escolares según cobertura. Distritos. Curso 202425 | Cobertura,"Bienestar social | Distribución de solicitudes de Cheques escolares, concesiones y renta familiar media. Distritos. Curso 202425 | Porcentaje de concedidos","0,825",19,"Cobertura y porcentaje concedido sobre solicitudes miden aspectos relacionados pero no identicos, por eso se mantienen separadas.",,
Pobreza,correlacion_pearson,Pobreza 2025 movil | No [%],Pobreza 2025 lavadora | No [%],"0,535",19,Se conservan ambas carencias seleccionadas por su interpretacion material directa.,,
Educacion - titulacion,correlacion_pearson,Padron 2025 titulacion 18+ | Bachiller FP2 o superior [%],"Educacion superior [% distrito, mayores 15, censo 2022]","0,995",19,Se conserva Padron 2025 en porcentajes y se eliminan indicadores de censo 2022 por solapamiento temporal y conceptual.,,
Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado matriculado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,"1,000",18,No se conserva el recuento absoluto de presentados; se transforma en porcentaje sobre alumnado matriculado.,,
Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media expediente de Bachillerato,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Media PAU,"0,635",18,Se conserva la media PAU y la diferencia expediente-PAU como medida complementaria de brecha entre evaluacion interna y externa.,,
Educacion - PAU,correlacion_pearson,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado presentado,Educacion | Resultados de Bachillerato y notas PAU por distrito. Curso 202425 | Alumnado apto,"0,998",18,El porcentaje de aptos resume el resultado academico evitando conservar recuentos absolutos.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Discapacidad + enfermedad mental,total del bloque,"8,011",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Adicciones,total del bloque,"1,733",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Mayores,total del bloque,"14,617",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Sintecho,total del bloque,"0,562",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Etnicas,total del bloque,"0,187",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Poblacion general + otras participacion social,total del bloque,"13,891",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Culturales + deportivas + fiestas/recreativas,total del bloque,"51,651",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Bienestar social - asociaciones,peso_sobre_total_ciudad_%,Profesionales y economicas,total del bloque,"9,346",19,Reduccion del tejido asociativo a dimensiones interpretables por cada 1.000 habitantes.,,
Policia local,peso_sobre_total_ciudad_%,Servicios trafico,total del bloque,"23,420",19,Agrupacion de subtipos en cuatro bloques funcionales por cada 1.000 habitantes.,,
