refman,hoja,coorx,coory
38124,YJ2731B,723774.86,4371003.83
38133,YJ2731D,723796.92,4371127.76
38129,YJ2731B,723734.74,4371037.11
37125,YJ2731B,723668.59,4371022.86
36118,YJ2731B,723518.73,4370967.13
37121,YJ2731D,723586.68,4371066.53
37136,YJ2731D,723685.78,4371136.6
35166,YJ2731F,723449.42,4371408.81
38131,YJ2731D,723747.3,4371243.24
36133,YJ2731D,723553.57,4371182.05
36131,YJ2731D,723501.6,4371121.86
35139,YJ2731D,723442.96,4371162.06
88907,YJ2689B,728769.15,4368886.59
56074,YJ2750H,725567.95,4370579.91
55075,YJ2750H,725470.08,4370559.91
55061,YJ2750F,725412.66,4370517.35
86181,YJ2781H,728573.72,4371627.63
92129,YJ2791C,729123.7,4371036.33
47923,YJ2649D,724616.93,4369073
68955,YJ2669D,726783.59,4369276.47
51972,YJ2659E,725011.22,4369491.44
67997,YJ2669H,726682.91,4369688.58
87854,YJ2688F,728649.06,4368383.36
87859,YJ2688F,728654.98,4368353.01
89851,YJ2688F,728820.48,4368294.06
88843,YJ2688D,728713.66,4368286.19
51962,YJ2659E,725004.83,4369467.75
51978,YJ2659E,725034.32,4369482.5
51961,YJ2659E,724992.85,4369419.56
47801,YJ2648B,724593.47,4367821.81
50843,YJ2658C,724914.6,4368260.96
57819,YJ2658B,725634.92,4367946.85
77176,YJ2771F,727684.08,4371511.24
79185,YJ2771H,727856.68,4371563.82
79162,YJ2771F,727839.73,4371479.89
80167,YJ2781E,727917.9,4371419.58
82161,YJ2781E,728074.65,4371471.61
03041,YJ3700G,731271.14,4370928.03
45936,YJ2649D,724459.31,4369160.98
62183,YJ2761G,726150.16,4371698.35
94175,YJ2791E,729353.96,4371489.69
71023,YJ2770C,726966.63,4370030.79
54327,YJ2753A,725375.94,4373020.09
62607,YJ2766A,726161,4375812.32
93007,YJ2790A,729264.2,4369791.29
93998,YJ2699G,729262.07,4369718.7
93995,YJ2699G,729282.36,4369715.68
94971,YJ2699E,729342.49,4369516.37
94964,YJ2699F,729394.54,4369502.56
